binCapacity,id,wardID,binColor,binID,binCategory,binFullnessThreshold,location.coordinates,location.type,deviceInfo.rfID,deviceInfo.deviceID
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,4,Green,655,Dustbin,80,"[82.973846, 25.308822]",Point,E200637C924134716614E0D1,GBIN000655
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,67,Green,657,Dustbin,80,"[83.002938, 25.316015]",Point,E200637C9202EA716613E7A9,GBIN000657
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,28,Green,658,Dustbin,80,"[83.000076, 25.321424]",Point,E200637C92097371661401CD,GBIN000658
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,60,Green,659,Dustbin,80,"[83.005035, 25.32314]",Point,E200637C924115F16614E057,GBIN000659
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,32,Green,66,Dustbin,80,"[82.990107, 25.316388]",Point,E200637C92BC2BF1661620AF,GBIN000077
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,15,Green,663,Dustbin,80,"[82.969113, 25.352632]",Point,E200637C9229AD31661478F4,GBIN000663
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,7,Green,667,Dustbin,80,"[82.99568, 25.348176]",Point,E200637C9210C7F166141F1F,GBIN000667
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,32,Green,67,Dustbin,80,"[82.990702, 25.316826]",Point,E200637C924292716614E649,GBIN000107
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,60,Green,670,Dustbin,80,"[83.002627, 25.324138]",Point,E200637C9229FD71661483F5,GBIN000670
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,60,Green,671,Dustbin,80,"[83.002061, 25.324322]",Point,E200637C9242BB316614E6EC,GBIN000671
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,28,Green,672,Dustbin,80,"[83.001373, 25.324207]",Point,E200637C9213FE7166142BF9,GBIN000672
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,28,Green,673,Dustbin,80,"[83.00067, 25.324753]",Point,E200637C920A1AF16614046B,GBIN000673
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,24,Green,675,Dustbin,80,"[82.99928, 25.323656]",Point,E200637C92080A316613FC28,GBIN000675
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,24,Green,676,Dustbin,80,"[82.99735, 25.32333]",Point,E200637C921083F166141E0F,GBIN000676
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,7,Green,677,Dustbin,80,"[82.99568, 25.348176]",Point,E200637C921E2A71661454A9,GBIN000677
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,30,Green,678,Dustbin,80,"[83.013787, 25.35805]",Point,E200637C92B694B166160A52,GBIN000678
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,26,Green,679,Dustbin,80,"[83.011463, 25.359609]",Point,E200637C92D12EF1661674BB,GBIN000679
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,0,Green,68,Dustbin,80,"[82.972596, 25.316329]",Point,E200637C920CCE3166140F38,GBIN000042
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,15,Green,681,Dustbin,80,"[82.976869, 25.348386]",Point,E200637C923550F16614B143,GBIN000681
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,15,Green,682,Dustbin,80,"[82.976869, 25.348386]",Point,E200637C923C2B316614CCAC,GBIN000682
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,15,Green,683,Dustbin,80,"[82.976869, 25.348386]",Point,E200637C923AA3716614C68D,GBIN000683
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,15,Green,684,Dustbin,80,"[82.976869, 25.348386]",Point,E200637C9203A5716613EA95,GBIN000684
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,22,Green,685,Dustbin,80,"[82.960625, 25.354915]",Point,E200637C9228F33166147FCC,GBIN000685
1.1,varanasismartcity.gov.in/62d1f729edd3d2a1a090cb1c6c89356296963d55/rs.iudx.org.in/varanasi-swm-additional-info/varanasi-swm-bin-details,22,Green,686,Dustbin,80,"[82.952533, 25.355982]",Point,E200637C920594B16613F252,GBIN000686
